Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
250,25000,2033.0,100,61,77,100,100,19.0,1300.0,1904.0,3274.0,1807.0,8072.0
251,25100,2032.0,100,63,63,100,100,0.0,1300.0,1904.0,3198.0,1788.0,7919.0
252,25200,2032.0,83,63,60,100,100,0.0,1300.0,1904.0,3198.0,1807.0,7880.0
253,25300,2031.0,91,25,63,83,91,99.0,1300.0,1904.0,3274.0,1807.0,7937.0
254,25400,2031.0,100,88,60,20,100,99.0,1300.0,1904.0,3351.0,1827.0,8015.0
255,25500,2028.0,50,91,42,90,91,99.0,1300.0,1904.0,3274.0,1827.0,7918.0
256,25600,2029.0,66,100,0,100,100,16.0,1300.0,1904.0,3274.0,1827.0,7899.0
257,25700,2035.0,63,100,16,100,100,30.0,1300.0,1828.0,3274.0,1827.0,7804.0
258,25800,2029.0,63,100,16,100,100,0.0,1300.0,1828.0,3274.0,1827.0,7804.0
259,25900,2030.0,91,25,70,100,100,0.0,1300.0,1828.0,3274.0,1827.0,7785.0
260,26000,2032.0,90,11,60,100,100,42.0,1300.0,1828.0,3274.0,1827.0,7785.0
261,26100,2032.0,100,9,61,100,100,28.0,1300.0,1828.0,3274.0,1827.0,7785.0
262,26200,2032.0,100,0,60,100,100,11.0,1300.0,1828.0,3274.0,1846.0,7804.0
263,26300,2030.0,100,0,60,100,100,88.0,1300.0,1752.0,3351.0,1846.0,7805.0
264,26400,2030.0,90,72,72,100,100,89.0,1300.0,1828.0,3351.0,1846.0,7881.0
265,26500,2031.0,100,40,87,66,100,47.0,1300.0,1904.0,3427.0,1865.0,8052.0
266,26600,2030.0,100,9,100,63,100,68.0,1300.0,1904.0,3427.0,1865.0,8052.0
267,26700,2027.0,100,27,100,81,100,68.0,1300.0,1904.0,3427.0,1865.0,8052.0
268,26800,2028.0,75,92,90,100,100,0.0,1300.0,2057.0,3198.0,1788.0,8053.0
269,26900,2034.0,66,91,100,58,100,28.0,1300.0,2133.0,3122.0,1788.0,8187.0
270,27000,2030.0,70,20,100,100,100,28.0,1300.0,2057.0,3198.0,1807.0,8302.0
271,27100,2029.0,63,23,100,100,100,26.0,1300.0,1980.0,3273.0,1807.0,8358.0
272,27200,2030.0,63,80,30,100,100,99.0,1300.0,1980.0,3349.0,1807.0,8492.0
273,27300,2029.0,75,100,100,100,100,99.0,1300.0,2056.0,3349.0,1827.0,8645.0
274,27400,2029.0,80,54,100,100,100,53.0,1300.0,2056.0,3197.0,1788.0,8474.0
275,27500,2031.0,70,9,100,100,100,0.0,1300.0,2056.0,3197.0,1788.0,8493.0
276,27600,2030.0,76,63,100,100,100,0.0,1300.0,2056.0,3121.0,1788.0,8436.0
277,27700,2030.0,81,81,100,100,100,79.0,1300.0,2132.0,3197.0,1788.0,8607.0
278,27800,2031.0,77,100,63,100,100,31.0,1300.0,2132.0,3121.0,1788.0,8551.0
