Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
201,20100,2035.0,36,9,0,30,36,10.0,1122.0,838.0,2667.0,1730.0,6188.0
202,20200,2018.0,45,15,0,36,45,10.0,1122.0,838.0,2515.0,1711.0,6152.0
203,20300,2022.0,0,0,0,60,60,2.0,1122.0,838.0,2591.0,1711.0,6228.0
204,20400,2021.0,9,0,8,58,58,0.0,1122.0,762.0,2591.0,1711.0,6094.0
205,20500,2022.0,0,0,9,60,60,76.0,1122.0,762.0,2591.0,1711.0,6055.0
206,20600,1960.0,9,0,0,63,63,52.0,1122.0,762.0,2591.0,1730.0,6036.0
207,20700,1804.0,15,8,9,54,54,99.0,1122.0,762.0,2667.0,1750.0,6113.0
208,20800,2057.0,9,0,8,60,60,99.0,1122.0,762.0,2667.0,1750.0,6093.0
209,20900,345.0,0,0,0,54,54,29.0,1122.0,762.0,2667.0,1750.0,6074.0
210,21000,2071.0,40,0,0,36,40,0.0,1122.0,762.0,2515.0,1692.0,5845.0
211,21100,2024.0,15,8,8,63,63,0.0,1122.0,762.0,2439.0,1673.0,5750.0
212,21200,2021.0,0,0,0,60,60,70.0,1122.0,762.0,2515.0,1673.0,5826.0
213,21300,1962.0,0,0,8,58,58,81.0,1122.0,762.0,2591.0,1692.0,5902.0
214,21400,346.0,9,8,0,54,54,51.0,1122.0,762.0,2667.0,1711.0,5997.0
215,21500,345.0,28,8,8,63,63,34.0,1122.0,762.0,2591.0,1711.0,5921.0
216,21600,345.0,9,8,0,58,58,40.0,1122.0,762.0,2591.0,1711.0,5921.0
217,21700,499.0,0,8,0,70,70,18.0,1122.0,762.0,2515.0,1692.0,5826.0
218,21800,2034.0,45,0,0,41,45,0.0,1122.0,762.0,2439.0,1634.0,5692.0
219,21900,1959.0,9,0,0,58,58,78.0,1122.0,762.0,2515.0,1673.0,5807.0
220,22000,1866.0,9,0,0,54,54,99.0,1122.0,686.0,2515.0,1673.0,5731.0
221,22100,345.0,9,0,0,63,63,31.0,1122.0,686.0,2591.0,1692.0,5826.0
222,22200,651.0,8,0,8,61,61,34.0,1122.0,762.0,2591.0,1692.0,5883.0
223,22300,345.0,9,0,0,63,63,32.0,1122.0,762.0,2591.0,1692.0,5883.0
224,22400,653.0,9,0,0,63,63,28.0,1122.0,762.0,2515.0,1692.0,5807.0
225,22500,2033.0,9,0,0,63,63,0.0,1122.0,762.0,2515.0,1673.0,5788.0
226,22600,2020.0,9,8,8,63,63,0.0,1122.0,762.0,2515.0,1692.0,5807.0
227,22700,2025.0,0,0,0,54,54,99.0,1122.0,762.0,2591.0,1692.0,5883.0
228,22800,2071.0,8,40,0,20,40,99.0,1122.0,686.0,2667.0,1711.0,5902.0
229,22900,499.0,9,0,0,63,63,0.0,1122.0,762.0,2515.0,1673.0,5788.0
230,23000,499.0,9,8,8,58,58,0.0,1122.0,762.0,2515.0,1692.0,5807.0
231,23100,2026.0,0,0,0,70,70,0.0,1122.0,762.0,2439.0,1673.0,5712.0
232,23200,2025.0,9,0,16,58,58,66.0,1122.0,762.0,2515.0,1692.0,5807.0
233,23300,1959.0,0,0,0,55,55,72.0,1122.0,762.0,2591.0,1692.0,5883.0
234,23400,498.0,0,0,0,58,58,63.0,1122.0,762.0,2667.0,1711.0,5978.0
235,23500,2036.0,16,9,9,63,63,54.0,1122.0,762.0,2591.0,1711.0,5902.0
236,23600,2072.0,8,8,8,63,63,53.0,1122.0,762.0,2591.0,1692.0,5883.0
237,23700,2025.0,33,9,8,36,36,0.0,1122.0,762.0,2439.0,1673.0,5731.0
238,23800,1960.0,0,0,0,55,55,16.0,1122.0,686.0,2515.0,1673.0,5731.0
239,23900,2035.0,15,0,0,54,54,99.0,1122.0,686.0,2591.0,1692.0,5826.0
240,24000,1721.0,9,9,0,58,58,99.0,1122.0,686.0,2591.0,1711.0,5845.0
241,24100,499.0,0,0,8,63,63,21.0,1122.0,686.0,2591.0,1730.0,5864.0
242,24200,345.0,15,15,8,58,58,24.0,1122.0,762.0,2591.0,1730.0,5940.0
243,24300,1064.0,16,0,0,66,66,30.0,1122.0,762.0,2591.0,1730.0,5921.0
244,24400,499.0,9,0,0,66,66,35.0,1122.0,762.0,2591.0,1730.0,5940.0
245,24500,2068.0,0,0,0,63,63,0.0,1122.0,762.0,2515.0,1692.0,5826.0
246,24600,2022.0,0,15,9,63,63,0.0,1122.0,762.0,2515.0,1692.0,5845.0
247,24700,2024.0,9,9,0,60,60,0.0,1122.0,762.0,2515.0,1692.0,5999.0
248,24800,1962.0,9,0,0,54,54,99.0,1122.0,762.0,2590.0,1711.0,6170.0
249,24900,345.0,16,0,8,60,60,99.0,1122.0,762.0,2590.0,1711.0,6285.0
250,25000,345.0,16,0,0,58,58,1.0,1122.0,762.0,2590.0,1711.0,6304.0
251,25100,1736.0,0,36,0,30,36,96.0,1122.0,762.0,2590.0,1692.0,6208.0
252,25200,499.0,8,8,15,63,63,0.0,1122.0,762.0,2591.0,1692.0,6133.0
253,25300,2073.0,0,0,0,63,63,0.0,1122.0,762.0,2515.0,1673.0,5980.0
254,25400,2023.0,9,0,0,63,63,32.0,1122.0,762.0,2439.0,1673.0,5865.0
255,25500,1969.0,9,9,9,60,60,49.0,1122.0,762.0,2515.0,1673.0,5903.0
256,25600,1672.0,16,0,0,58,58,87.0,1122.0,686.0,2591.0,1692.0,5903.0
257,25700,345.0,8,0,0,58,58,70.0,1122.0,686.0,2667.0,1711.0,5978.0
258,25800,499.0,0,0,0,63,63,32.0,1122.0,762.0,2515.0,1692.0,5864.0
259,25900,2035.0,0,8,0,75,75,0.0,1122.0,762.0,2439.0,1653.0,5730.0
260,26000,2018.0,9,0,0,60,60,29.0,1122.0,762.0,2439.0,1653.0,5730.0
261,26100,1957.0,0,9,9,61,61,29.0,1122.0,762.0,2515.0,1692.0,5826.0
262,26200,1688.0,0,0,0,63,63,99.0,1122.0,686.0,2591.0,1692.0,5826.0
263,26300,345.0,16,0,0,58,58,99.0,1122.0,686.0,2591.0,1711.0,5845.0
264,26400,345.0,9,0,8,66,66,99.0,1122.0,686.0,2667.0,1730.0,5940.0
265,26500,345.0,21,0,0,63,63,0.0,1122.0,762.0,2515.0,1711.0,5845.0
266,26600,499.0,0,0,0,60,60,0.0,1122.0,762.0,2515.0,1692.0,5826.0
267,26700,2024.0,8,0,0,66,66,0.0,1122.0,762.0,2439.0,1673.0,5731.0
268,26800,1996.0,0,8,0,60,60,0.0,1122.0,762.0,2515.0,1673.0,5807.0
269,26900,1958.0,9,0,0,58,58,99.0,1122.0,762.0,2515.0,1692.0,5826.0
270,27000,1802.0,9,0,0,63,63,95.0,1122.0,762.0,2591.0,1711.0,5921.0
271,27100,345.0,15,0,15,58,58,70.0,1122.0,762.0,2667.0,1711.0,5978.0
272,27200,345.0,9,15,0,54,54,87.0,1122.0,762.0,2667.0,1730.0,6016.0
273,27300,652.0,0,36,8,33,36,38.0,1122.0,762.0,2515.0,1692.0,5807.0
274,27400,1944.0,9,0,8,70,70,0.0,1122.0,762.0,2439.0,1653.0,5692.0
275,27500,2026.0,8,0,0,60,60,21.0,1122.0,762.0,2515.0,1673.0,5788.0
276,27600,1960.0,9,0,0,54,54,45.0,1122.0,762.0,2591.0,1692.0,5883.0
277,27700,345.0,9,0,0,63,63,84.0,1122.0,762.0,2591.0,1711.0,5902.0
278,27800,345.0,9,0,0,61,61,62.0,1122.0,762.0,2515.0,1711.0,5826.0
279,27900,345.0,0,0,7,63,63,45.0,1122.0,762.0,2515.0,1711.0,5826.0
